value_date,credit_amount,debit_amount,utr,reference,narration
2026-03-18,47.02,0.00,SBIN192798141155,RZPM4738884,IMPS DIYA RZPM4738884
2026-01-10,342.02,0.00,HDFC724517411079,RZPM4218067,IMPS RIYA RZPM4218067
2026-03-24,61751.74,0.00,HDFC656320974995,RZPM4272984,IMPS KUNAL RZPM4272984
2026-03-24,61751.74,0.00,ICIC645062680035,RZPM4272984,IMPS KUNAL RZPM4272984
2026-01-13,8161.64,0.00,SBIN377796485547,RZPM4359787,IMPS FATIMA RZPM4359787
2026-01-13,8161.64,0.00,KKBK257395937734,RZPM4359787,IMPS FATIMA RZPM4359787
2026-01-24,1567.02,0.00,KKBK755208960962,RZPM4341606,IMPS MEERA RZPM4341606
2026-01-26,87268.46,0.00,ICIC732547189267,RZPM4391506,IMPS MANISH RZPM4391506
2026-01-31,72167.87,0.00,KKBK367076701377,RZPM4723977,IMPS YASH RZPM4723977
2026-02-04,16484.41,0.00,ICIC413238000457,RZPM4747073,IMPS JHANVI RZPM4747073
2026-03-01,873.83,0.00,SBIN473674831028,RZPM4456711,IMPS POOJA RZPM4456711
2026-02-28,4804.93,0.00,HDFC652135507567,NACH59201,NACH MANDATE SALARY CREDIT
2026-03-01,7539.84,0.00,HDFC190782285870,RZPM4751217,IMPS DIYA RZPM4751217
2026-02-20,9854.43,0.00,SBIN549332252839,RZPM4253767,IMPS AISHA RZPM4253767
2026-01-24,1551.03,0.00,KKBK574090075943,RZPM4391192,IMPS NANDINI RZPM4391192
2026-02-25,16587.66,0.00,KKBK262026938799,RZPM4361787,IMPS ISHITA RZPM4361787
2026-03-07,2155.02,0.00,UTIB567931856569,RZPM4319767,IMPS TANVI RZPM4319767
2026-03-07,76737.52,0.00,KKBK587652171277,RZPM4551044,IMPS HARSH RZPM4551044
2026-02-22,881.02,0.00,SBIN576414811298,RZPM4659721,IMPS ROHIT RZPM4659721
2026-02-23,0.00,881.02,KKBK793521001634,RZPM4659721,REFUND REVERSAL RZPM4659721
2026-02-27,19285.34,0.00,UTIB710495978947,RZPM4241465,IMPS JHANVI RZPM4241465
2026-02-27,3173.09,0.00,SBIN756901298678,NACH51304,NACH MANDATE SALARY CREDIT
2026-03-19,56237.87,0.00,ICIC105038843461,RZPM4342935,IMPS SANJAY RZPM4342935
2026-02-11,13123.00,0.00,HDFC595662975999,RZPM4493517,IMPS POOJA RZPM4493517
2026-01-12,16986.75,0.00,ICIC191117989708,RZPM4858581,SPLIT CAPTURE 1 RZPM4858581
2026-01-13,19790.38,0.00,ICIC787751577045,RZPM4858581,SPLIT CAPTURE 2 RZPM4858581
2026-01-31,12693.69,0.00,UTIB790566782957,RZPM4169578,SPLIT CAPTURE 1 RZPM4169578
2026-02-01,11661.07,0.00,ICIC393776701677,RZPM4169578,SPLIT CAPTURE 2 RZPM4169578
2026-02-15,22859.59,0.00,KKBK419479813602,RZPM4893728,SPLIT CAPTURE 1 RZPM4893728
2026-02-16,26438.76,0.00,HDFC583406705185,RZPM4893728,SPLIT CAPTURE 2 RZPM4893728
2026-01-28,5482.16,0.00,KKBK629983083958,NACH67131,NACH MANDATE SALARY CREDIT
2026-01-20,110358.57,0.00,HDFC126537694369,RZPM4689089,IMPS RIYA RZPM4689089
2026-02-01,113074.65,0.00,SBIN136328604567,RZPM4177704,IMPS YASH RZPM4177704
2026-03-27,74481.50,0.00,ICIC432521365693,RZPM4214637,IMPS HARSH RZPM4214637
2026-03-22,71908.23,0.00,UTIB793512030406,RZPM4590814,IMPS RIYA RZPM4590814
2026-03-23,0.00,71908.23,KKBK616563288090,RZPM4590814,REFUND REVERSAL RZPM4590814
2026-01-10,881.02,0.00,KKBK859141711605,RZPM4639147,IMPS SHREYA RZPM4639147
2026-01-10,881.02,0.00,ICIC336110126889,RZPM4639147,IMPS SHREYA RZPM4639147
2026-01-13,17027.97,0.00,ICIC302402193772,RZPM4651074,IMPS TANVI RZPM4651074
2026-01-22,28600.26,0.00,SBIN892071464102,RZPM4535140,IMPS ADITYA RZPM4535140
2026-02-04,46094.51,0.00,SBIN536507507160,RZPM4560425,IMPS VIKRAM RZPM4560425
2026-01-23,3102.54,0.00,SBIN863625789877,RZPM4761588,IMPS AARAV RZPM4761588
2026-01-21,2612.06,0.00,UTIB614009214962,NACH13369,NACH MANDATE SALARY CREDIT
2026-02-21,655.02,0.00,KKBK317506630636,RZPM4125758,IMPS ISHITA RZPM4125758
2026-03-27,-637.98,0.00,UTIB933214237053,RZPM4147704,IMPS VIKRAM RZPM4147704
2026-01-25,587.02,0.00,HDFC481996640943,RZPM4882116,IMPS MEERA RZPM4882116
2026-01-30,72569.26,0.00,ICIC597519284540,RZPM4811529,IMPS ANANYA RZPM4811529
2026-03-10,118150.30,0.00,HDFC215099124854,RZPM4129108,IMPS KAVYA RZPM4129108
2026-02-13,584.02,0.00,ICIC228405179232,RZPM4709620,IMPS YASH RZPM4709620
2026-01-11,22937.73,0.00,ICIC797482334556,RZPM4768422,IMPS NIKHIL RZPM4768422
2026-03-07,881.02,0.00,ICIC772949816249,RZPM4881860,IMPS KUNAL RZPM4881860
2026-02-11,106154.28,0.00,ICIC620369561200,RZPM4211849,IMPS LEELA RZPM4211849
2026-02-13,3580.18,0.00,ICIC673738126487,RZPM4731469,IMPS MANISH RZPM4731469
2026-03-13,27609.83,0.00,SBIN411912873043,RZPM4116742,IMPS GAURAV RZPM4116742
2026-01-23,6039.08,0.00,ICIC381392777051,RZPM4526875,IMPS ROHIT RZPM4526875
2026-01-25,47811.52,0.00,SBIN614994758425,RZPM4809356,IMPS RIYA RZPM4809356
2026-01-26,79026.33,0.00,SBIN980414746034,RZPM4774617,IMPS AARAV RZPM4774617
2026-01-17,74852.45,0.00,HDFC212107251430,RZPM4356770,IMPS SNEHA RZPM4356770
2026-03-04,15355.70,0.00,ICIC262656154933,RZPM4613803,IMPS NANDINI RZPM4613803
2026-02-21,12069.81,0.00,UTIB256113067150,RZPM4522109,IMPS ROHIT RZPM4522109
