settlement_id,merchant_order_id,settlement_date,gross_amount,fee,tds,refund_amount,net_amount,payment_mode
STLM72060,RZPM4551044,2026-03-07,78426.04,1568.52,0.00,0.00,76857.52,VISA
STLM72061,RZPM4659721,2026-02-22,899.00,17.98,0.00,881.02,881.02,UPI
STLM72062,RZPM4241465,2026-02-27,19678.92,393.58,0.00,0.00,19285.34,RUPAY
STLM72062D,RZPM4241465,2026-02-27,19678.92,393.58,0.00,0.00,19285.34,RUPAY
STLD80006,RZPX9112972,2026-02-27,3999.00,79.98,0.00,0.00,3919.02,UPI
STLM72063,RZPM4342935,2026-03-19,57385.58,1147.71,0.00,0.00,56237.87,UPI
STLM72064,RZPM4493517,2026-02-11,14921.43,298.43,0.00,0.00,14623.00,UPI
STLM71065A,RZPM4858581,2026-01-12,17333.42,346.67,0.00,0.00,16986.75,CARD
STLM71065B,RZPM4858581,2026-01-13,20194.26,403.88,0.00,0.00,19790.38,CARD
STLM71066A,RZPM4169578,2026-01-31,12952.75,259.06,0.00,0.00,12693.69,CARD
STLM71066B,RZPM4169578,2026-02-01,11899.05,237.98,0.00,0.00,11661.07,CARD
STLM71067A,RZPM4893728,2026-02-15,23326.11,466.52,0.00,0.00,22859.59,CARD
STLM71067B,RZPM4893728,2026-02-16,26978.33,539.57,0.00,0.00,26438.76,CARD
STLM72069,RZPM4381373,2026-01-28,74630.40,1492.61,0.00,0.00,73137.79,RUPAY
STLD80007,RZPX9161715,2026-01-28,32656.64,653.13,0.00,0.00,32003.51,UPI
STLM72071,RZPM4689089,2026-01-20,112610.79,2252.22,0.00,0.00,110358.57,UPI
STLD80008,RZPX9102851,2026-01-20,2199.00,43.98,0.00,0.00,2155.02,UPI
STLM72072,RZPM4177704,2026-02-01,115382.30,2307.65,0.00,0.00,113074.65,VISA
STLM72073,RZPM4214637,2026-03-27,77532.14,1550.64,0.00,0.00,75981.50,RUPAY
STLM72074,RZPM4590814,2026-03-22,73375.74,1467.51,0.00,71908.23,71908.23,VISA
STLM72075,RZPM4639147,2026-01-10,899.00,17.98,0.00,0.00,881.02,VISA
STLM72076,RZPM4651074,2026-01-13,17375.48,347.51,0.00,0.00,17027.97,UPI
STLM72077,RZPM4535140,2026-01-22,29183.94,583.68,0.00,0.00,28600.26,UPI
STLM72078,RZPM4560425,2026-02-04,47035.21,940.70,0.00,0.00,46094.51,RUPAY
STLM72079,RZPM4761588,2026-01-21,3198.49,63.97,31.98,0.00,3102.54,VISA
STLM72081,RZPM4125758,2026-02-21,2199.00,43.98,0.00,0.00,2155.02,UPI
STLM72082,RZPM4404003,2026-02-22,50821.56,1016.43,0.00,0.00,49805.13,RUPAY
STLM72083,RZPM4147704,2026-03-27,349.00,6.98,0.00,0.00,342.02,VISA
STLM72084,rzpm4882116,2026-01-25,599.00,11.98,0.00,0.00,587.02,VISA
STLM72085,RZPM4811529,2026-01-30,74813.67,1496.27,748.14,0.00,72569.26,RUPAY
STLM72086,RZPM4129108,2026-03-10,121804.43,2436.09,1218.04,0.00,118150.30,VISA
STLM72087,RZPM4709620,2026-02-13,599.00,14.98,0.00,0.00,584.02,UPI
STLM72088,RZPM4768422,2026-01-11,23405.85,468.12,0.00,0.00,22937.73,UPI
STLM72089,RZPM4881860,2026-03-07,899.00,17.98,0.00,0.00,881.02,VISA
STLD80009,RZPX9112646,2026-03-07,81229.28,1624.59,0.00,0.00,79604.69,UPI
STLM72090,RZPM4203664,2026-02-01,32968.39,659.37,0.00,0.00,32309.02,VISA
STLM72091,RZPM4211849,2026-02-11,108320.69,2166.41,0.00,0.00,106154.28,VISA
STLM72092,RZPM4731469,2026-02-13,3653.24,73.06,0.00,0.00,3580.18,RUPAY
STLM72092D,RZPM4731469,2026-02-13,3653.24,73.06,0.00,0.00,3580.18,RUPAY
STLD80010,RZPX9108753,2026-02-13,11441.03,228.82,0.00,0.00,11212.21,UPI
STLM72093,RZPM4116742,2026-03-11,28173.30,563.47,0.00,0.00,27609.83,VISA
STLM72094,RZPM4526875,2026-01-23,6162.33,123.25,0.00,0.00,6039.08,UPI
STLM72095,RZPM4809356,2026-01-25,48787.27,975.75,0.00,0.00,47811.52,RUPAY
STLM72096,RZPM4774617,2026-01-26,80639.11,1612.78,0.00,0.00,79026.33,VISA
STLM72097,RZPM4356770,2026-01-17,113206.71,2264.13,0.00,36090.13,110942.58,RUPAY
STLM72098,RZPM4613803,2026-03-04,15668.74,313.37,0.00,0.00,15355.37,RUPAY
STLM72099,RZPM4522109,2026-02-20,12468.81,274.31,124.69,0.00,12069.81,UPI
