reference,credit_date,credit_amount
ORD1368,2026-07-21,10980.97
ORD1369,2026-07-11,20959.89
ORD1370,2026-07-03,2861.45
ORD1371,2026-07-10,26613.38
ORD1372,2026-07-24,42191.89
ORD1373,2026-07-26,33314.59
ORD1374,2026-07-11,20631.53
ORD1375,2026-07-04,4567.74
ORD1376,2026-07-14,699.57
ORD1377,2026-07-12,40572.69
ORD1378,2026-07-25,7869.47
ORD1379,2026-07-13,13214.71
ORD1380,2026-07-15,16092.54
ORD1381,2026-07-16,33697.55
ORD1383,2026-07-13,29882.93
ORD1384,2026-07-07,18693.26
ORD1384,2026-07-07,18693.26
ORD1385,2026-07-15,649.86
ORD1386,2026-07-19,18191.13
ORD1387,2026-07-07,36769.66
ORD1387,2026-07-07,36769.66
ORD1388,2026-07-03,16915.5
ORD1389,2026-07-28,2329.34
ORD1390,2026-07-19,8034.57
ORD1391,2026-07-27,15344.65
ORD1392,2026-07-29,14182.98
ORD1393,2026-07-24,21570.17
ORD1393,2026-07-24,21570.17
ORD1394,2026-07-10,13951.9
ORD1395,2026-07-26,36685.38
ORD1396,2026-07-17,20047.99
ORD1397,2026-07-22,41285.99
ORD1398,2026-07-20,41217.84
ORD1399,2026-07-10,35657.25
ORD1400,2026-07-28,41899.1
ORD1401,2026-07-21,39315.09
ORD1402,2026-07-19,10897.78
ORD1403,2026-07-12,39676.3
ORD1404,2026-07-06,15167.95
ORD1405,2026-07-02,27709.2
ORD1405,2026-07-02,27709.2
ORD1406,2026-07-08,31070.81
ORD1406,2026-07-08,31070.81
ORD1407,2026-07-26,39965.57
ORD1408,2026-07-21,35195.03
ORD1409,2026-07-27,3059.16
ORD1410,2026-07-11,4479.76
ORD1411,2026-07-15,30987.23
ORD1412,2026-07-27,35655.77
ORD1413,2026-07-10,12297.47
ORD1414,2026-07-06,30800.33
ORD1415,2026-07-10,2850.42
ORD1416,2026-07-14,14293.5
ORD1417,2026-07-07,15721.42
ORD1418,2026-07-15,40547.68
ORD1419,2026-07-28,23890.24
ORD1420,2026-07-05,11989.34
ORD1421,2026-07-18,12783.67
ORD1422,2026-07-16,35704.34
ORD1423,2026-07-27,36717.41
ORD1424,2026-07-18,29805.87
ORD1425,2026-07-18,36879.7
ORD1426,2026-07-06,18454.89
ORD1427,2026-07-18,10136.08
ORD1428,2026-07-06,4840.49
ORD1429,2026-07-18,26062.32
ORD1430,2026-07-22,22456.59
ORD1431,2026-07-29,9178.81
ORD1432,2026-07-19,19475.34
ORD1433,2026-07-21,7988.95
ORD1434,2026-07-05,21420.18
ORD1435,2026-07-24,13878.66
ORD1436,2026-07-03,37264.41
ORD1437,2026-07-13,4156.04
ORD1438,2026-07-18,8444.63
ORD1439,2026-07-09,16689.71
ORD1440,2026-07-26,10235.6
ORD1442,2026-07-10,9605.04
ORD1443,2026-07-27,17420.09
ORD1444,2026-07-10,7471.84
ORD1445,2026-07-21,34008.36
ORD1446,2026-07-07,36596.76
ORD1447,2026-07-19,9895.01
ORD1448,2026-07-04,30362.59
ORD1449,2026-07-02,11779.68
ORD1449,2026-07-02,11779.68
ORD1451,2026-07-15,31564.5
ORD1452,2026-07-23,17631.89
ORD1453,2026-07-14,19749.22
ORD1454,2026-07-12,3450.55
ORD1455,2026-07-16,2367.82
ORD1456,2026-07-09,4489.01
ORD1457,2026-07-26,32065.59
ORD1457,2026-07-26,32065.59
ORD1458,2026-07-22,17713.97
ORD1459,2026-07-06,5626.9
ORD1459,2026-07-06,5626.9
ORD1460,2026-07-17,42236.01
ORD1462,2026-07-18,28667.25
ORD1463,2026-07-18,33428.72
ORD1464,2026-07-22,20069.18
ORD1465,2026-07-17,17487.37
ORD1466,2026-07-07,26799.64
ORD1467,2026-07-06,41417.73
ORD1468,2026-07-19,1216.54
ORD1469,2026-07-22,19867.81
ORD1469,2026-07-22,19867.81
ORD1470,2026-07-24,33413.06
ORD1471,2026-07-12,22557.5
ORD1472,2026-07-13,6011.68
ORD1473,2026-07-02,1671.28
ORD1474,2026-07-25,4043.86
ORD1475,2026-07-07,13120.25
ORD1476,2026-07-10,26044.32
ORD1477,2026-07-21,32857.47
ORD1478,2026-07-27,3036.87
ORD1479,2026-07-11,25441.15
ORD1480,2026-07-11,8627.91
ORD1481,2026-07-12,20392.53
ORD1482,2026-07-19,12474.16
ORD1483,2026-07-27,23008.59
ORD1484,2026-07-14,5502.32
ORD1485,2026-07-26,13924.77
ORD1486,2026-07-19,12431.44
ORD1487,2026-07-10,41750.85
ORD1488,2026-07-19,28735.57
ORD1489,2026-07-30,16335.23
ORD1490,2026-07-13,17899.24
ORD1491,2026-07-24,35424.61
ORD1492,2026-07-26,28812.66
ORD1493,2026-07-14,17539.57
ORD1494,2026-07-14,29558.83
ORD1495,2026-07-24,25322.22
ORD1496,2026-07-09,17517.12
ORD1497,2026-07-19,20794.02
ORD1498,2026-07-24,32880.17
ORD1499,2026-07-28,12162.87
ORD1500,2026-07-12,14117.14
ORD1501,2026-07-07,4353.33
ORD1502,2026-07-17,15244.95
ORD1503,2026-07-25,24514.63
ORD1504,2026-07-12,4072.12
ORD1505,2026-07-03,41882.95
ORD1506,2026-07-16,1040.88
ORD1507,2026-07-06,42371.97
ORD1508,2026-07-10,1549.05
ORD1509,2026-07-24,18784.89
ORD1510,2026-07-14,20045.04
ORD1511,2026-07-26,43639.87
ORD1512,2026-07-25,6877.58
ORD1513,2026-07-10,15566.89
ORD1515,2026-07-08,35921.43
ORD1516,2026-07-18,11116.22
ORD1518,2026-07-16,34413.27
ORD1519,2026-07-16,20859.93
ORD1520,2026-07-24,27513.2
ORD1520,2026-07-24,27513.2
ORD1521,2026-07-25,22598.94
ORD1522,2026-07-18,29597.69
ORD1523,2026-07-25,19923.68
ORD1524,2026-07-29,42870.2
ORD1525,2026-07-04,1528.57
ORD1526,2026-07-26,18459.91
ORD1527,2026-07-10,37739.93
ORD1528,2026-07-13,13784.04
ORD1529,2026-07-19,2987.54
ORD1530,2026-07-03,19174.37
ORD1531,2026-07-03,1660.09
ORD1532,2026-07-30,36970.66
ORD1532,2026-07-30,36970.66
ORD1533,2026-08-01,4793.6
ORD1535,2026-07-17,24140.25
ORD1536,2026-07-06,18125.42
ORD1538,2026-07-09,32401.07
ORD1539,2026-07-21,38801.05
ORD1540,2026-07-29,21185.2
ORD1541,2026-07-24,20922.7
ORD1542,2026-07-13,13874.63
ORD1543,2026-07-21,35333.16
ORD1544,2026-07-17,38986.99
ORD1545,2026-07-11,28149.82
ORD1546,2026-07-24,13115.82
ORD1547,2026-07-12,31440.2
ORD1547,2026-07-12,31440.2
ORD1548,2026-07-03,40190.81
ORD1549,2026-07-10,32444.92
ORD1550,2026-07-27,34470.73
ORD1550,2026-07-27,34470.73
ORD1551,2026-07-17,22993.98
ORD1553,2026-07-14,1301.31
ORD1555,2026-07-29,24380.31
ORD1556,2026-07-12,3590.99
ORD1557,2026-07-11,24117.31
ORD1558,2026-07-29,21446.97
ORD1559,2026-07-28,36099.14
ORD1560,2026-07-10,39842.76
ORD1561,2026-07-06,39666.51
ORD1562,2026-07-22,23239.72
ORD1563,2026-07-07,14163.32
ORD1564,2026-07-30,29991.18
ORD1565,2026-07-27,11464.35
ORD1565,2026-07-27,11464.35
ORD1566,2026-07-06,27295.02
ORD1568,2026-07-09,34436.25
ORD1569,2026-07-13,4771.05
ORD1570,2026-07-31,36046.65
ORD1571,2026-07-04,15710.05
ORD1572,2026-07-08,3691.56
ORD1573,2026-07-23,11125.61
ORD1575,2026-07-05,1845.39
ORD1576,2026-07-10,26115.07
ORD1578,2026-07-15,2331.25
ORD1579,2026-07-06,9778.94
ORD1580,2026-07-09,38170.47
ORD1581,2026-07-22,40681.55
ORD1582,2026-07-05,25210.04
ORD1583,2026-07-10,17718.56
ORD1584,2026-07-19,19349.43
ORD1585,2026-07-29,37090.32
ORD1586,2026-07-23,5876.41
ORD1587,2026-07-23,7293.65
ORD1589,2026-07-29,39997.25
ORD1590,2026-07-13,40658.63
ORD1591,2026-07-25,43702.8
ORD1592,2026-07-30,23875.85
ORD1593,2026-07-28,38605.3
ORD1594,2026-07-15,17587.49
ORD1595,2026-07-10,14016.45
ORD1596,2026-07-14,25626.01
ORD1597,2026-07-13,17460.7
ORD1598,2026-07-12,22999.08
ORD1599,2026-07-20,18723.52
ORD1600,2026-07-23,26262.41
ORD1601,2026-07-13,11393.93
ORD1602,2026-07-25,19952.13
ORD1604,2026-07-17,13486.96
ORD1605,2026-07-18,34518.55
ORD1607,2026-07-24,7036.03
ORD1608,2026-07-19,36248.25
ORD1609,2026-07-05,6666.26
ORD1610,2026-07-10,5911.72
ORD1611,2026-07-13,1980.68
ORD1612,2026-07-14,19926.23
ORD1613,2026-07-08,20887.86
ORD1614,2026-07-25,39780.4
ORD1615,2026-07-27,24990.02
ORD1616,2026-07-13,30046.98
ORD1618,2026-07-03,904.98
ORD1619,2026-07-18,10620.7
ORD1620,2026-07-09,32024.02
ORD1621,2026-07-23,16019.55
ORD1622,2026-07-21,38748.81
ORD1623,2026-07-23,34064.0
ORD1624,2026-07-09,19472.69
ORD1625,2026-07-04,20967.53
ORD1626,2026-07-18,18358.44
ORD1627,2026-07-26,6461.68
ORD1628,2026-07-16,23827.35
ORD1629,2026-07-15,15443.77
ORD1630,2026-07-13,40411.44
ORD1630,2026-07-13,40411.44
ORD1631,2026-07-07,18541.6
ORD1632,2026-07-13,33250.67
ORD1633,2026-07-12,11467.88
ORD1634,2026-07-11,28505.11
ORD1635,2026-07-27,33193.11
ORD1636,2026-07-23,27987.75
ORD1637,2026-07-13,34482.03
ORD1637,2026-07-13,34482.03
ORD1638,2026-07-13,1531.58
ORD1638,2026-07-13,1531.58
ORD1639,2026-07-02,22856.64
ORD1640,2026-07-09,16420.86
ORD1641,2026-07-06,22650.33
ORD1643,2026-07-20,23426.05
ORD1644,2026-07-22,34640.15
ORD1645,2026-07-13,40270.75
ORD1646,2026-07-21,30569.83
ORD1648,2026-07-07,23847.78
ORD1648,2026-07-07,23847.78
ORD1649,2026-07-29,22222.07
ORD1649,2026-07-29,22222.07
ORD1650,2026-07-24,20160.83
ORD1651,2026-07-25,15476.99
ORD1652,2026-07-13,5624.11
ORD1653,2026-07-27,28023.87
ORD1654,2026-08-03,16888.1
ORD1655,2026-07-18,3934.51
ORD1656,2026-07-27,7378.7
ORD1657,2026-07-17,9225.17
ORD1658,2026-07-26,42617.81
ORD1659,2026-07-12,42285.29
ORD1660,2026-07-28,24855.36
ORD1661,2026-07-23,3879.47
ORD1662,2026-07-23,17255.75
ORD1663,2026-07-10,35916.74
ORD1664,2026-07-08,21826.64
ORD1666,2026-07-25,41769.34
ORD1667,2026-07-22,6002.89
ORD1668,2026-07-17,41533.99
ORD1669,2026-07-02,18391.6
ORD1670,2026-07-10,6449.41
ORD1671,2026-07-09,6879.31
ORD1672,2026-07-16,16270.71
ORD1673,2026-07-15,30903.33
ORD1674,2026-07-22,42081.65
ORD1675,2026-07-17,33770.5
ORD1676,2026-07-28,38700.94
ORD1677,2026-07-10,12096.23
ORD1678,2026-07-16,41143.64
ORD1679,2026-07-18,9874.84
ORD1680,2026-07-12,10578.28
ORD1681,2026-07-03,18725.87
ORD1682,2026-07-18,14682.71
ORD1683,2026-07-26,28089.64
ORD1685,2026-07-23,36436.43
ORD1686,2026-07-16,5140.04
ORD1687,2026-07-23,28761.53
ORD1688,2026-07-17,19216.57
ORD1689,2026-07-16,27888.86
ORD1690,2026-07-20,23138.52
ORD1691,2026-07-07,19104.68
ORD1692,2026-07-25,4429.51
ORD1693,2026-07-14,22104.77
ORD1694,2026-07-13,2099.4
ORD1695,2026-07-30,2729.95
ORD1696,2026-07-23,14609.45
ORD1698,2026-07-29,30937.86
ORD1699,2026-07-15,5579.88
ORD1700,2026-07-05,15732.65
ORD1701,2026-07-03,19007.95
ORD1702,2026-07-25,35760.93
ORD1703,2026-07-06,30839.27
ORD1704,2026-07-15,11374.15
ORD1705,2026-07-16,15432.12
ORD1706,2026-07-25,35961.35
ORD1707,2026-07-12,38520.51
ORD1708,2026-07-11,8510.26
ORD1709,2026-07-16,5907.3
ORD1710,2026-07-30,13839.01
ORD1710,2026-07-30,13839.01
ORD1711,2026-07-11,40269.39
ORD1712,2026-07-28,32140.75
ORD1713,2026-07-24,19618.97
ORD1714,2026-07-17,6233.23
ORD1715,2026-07-08,8130.99
ORD1716,2026-07-20,7239.46
ORD1717,2026-07-28,40666.82
ORD1718,2026-07-19,15034.95
ORD1719,2026-07-11,36508.24
ORD1720,2026-07-24,36195.62
ORD1721,2026-07-07,6562.23
ORD1722,2026-07-24,33091.29
ORD1723,2026-07-11,4476.97
ORD1724,2026-07-20,22267.42
ORD1725,2026-07-28,6616.69
ORD1726,2026-07-20,29007.43
ORD1727,2026-07-02,7655.32
ORD1728,2026-07-28,27926.99
ORD1729,2026-07-10,21806.37
ORD1732,2026-07-27,39255.5
ORD1733,2026-07-28,25994.84
ORD1735,2026-07-22,17143.19
ORD1736,2026-07-12,41080.45
ORD1738,2026-07-07,25666.84
ORD1739,2026-07-10,16529.52
ORD1740,2026-07-07,24628.05
ORD1741,2026-07-07,2319.26
ORD1742,2026-07-22,14357.47
ORD1743,2026-07-21,3107.12
ORD1744,2026-07-11,13326.81
ORD1745,2026-07-28,39389.21
ORD1746,2026-07-12,8150.66
ORD1747,2026-07-17,18042.74
ORD1748,2026-07-14,4086.42
ORD1749,2026-07-28,34882.75
ORD1750,2026-07-21,23605.19
ORD1751,2026-07-22,4739.03
ORD1752,2026-07-29,18260.64
ORD1753,2026-07-06,8344.38
ORD1753,2026-07-06,8344.38
ORD1754,2026-07-12,2905.95
ORD1754,2026-07-12,2905.95
ORD1755,2026-07-14,15641.46
ORD1756,2026-07-17,28948.74
ORD1757,2026-07-16,14497.1
ORD1758,2026-07-04,15894.9
ORD1760,2026-07-11,6506.96
ORD1761,2026-07-23,4183.99
ORD1763,2026-07-20,40478.93
ORD1764,2026-07-19,23972.48
ORD1765,2026-07-05,30143.9
ORD1766,2026-07-09,2744.8
ORD1767,2026-07-27,34457.94
ORD1768,2026-07-19,38871.94
ORD1769,2026-07-30,23493.44
ORD1771,2026-07-11,24866.34
ORD1772,2026-07-14,19511.26
ORD1774,2026-07-22,804.55
ORD1775,2026-07-03,15214.92
