order_id,true_cause,ledger_amount,settlement_net,bank_credit,refund_amount
ORD1047,clean,23296.12,22830.2,22830.2,0.0
ORD1048,duplicate_entry,18579.45,18207.86,18207.86,0.0
ORD1049,clean,29327.37,28740.82,28740.82,0.0
ORD1050,clean,692.19,678.35,678.35,0.0
ORD1051,clean,40575.38,39763.87,39763.87,0.0
ORD1052,clean,44519.48,43629.09,43629.09,0.0
ORD1053,clean,34506.89,33816.75,33816.75,0.0
ORD1054,clean,2084.22,2042.54,2042.54,0.0
ORD1055,timing_lag,7870.81,7713.39,7713.39,0.0
ORD1056,clean,21778.64,21343.07,21343.07,0.0
ORD1057,rounding,7614.6,7462.31,7461.81,0.0
ORD1058,clean,27706.65,27152.52,27152.52,0.0
ORD1059,clean,33347.77,32680.81,32680.81,0.0
ORD1060,clean,31049.3,30428.31,30428.31,0.0
ORD1061,clean,11202.47,10978.42,10978.42,0.0
ORD1062,rounding,23834.6,23357.91,23358.31,0.0
ORD1063,clean,34636.78,33944.04,33944.04,0.0
ORD1064,tds_deduction,4818.19,4720.87,4720.87,0.0
ORD1065,missing_settlement,3265.83,,,0.0
ORD1066,clean,13531.98,13261.34,13261.34,0.0
ORD1067,duplicate_entry,26187.81,25664.05,25664.05,0.0
ORD1068,fee_variance,16722.03,16220.37,16220.37,0.0
ORD1069,rounding,31498.44,30868.47,30868.17,0.0
ORD1070,fee_variance,2981.1,2936.38,2936.38,0.0
ORD1071,clean,27567.87,27016.51,27016.51,0.0
ORD1072,clean,42390.64,41542.83,41542.83,0.0
ORD1073,clean,7328.05,7181.49,7181.49,0.0
ORD1074,clean,8329.44,8162.85,8162.85,0.0
ORD1075,clean,11888.41,11650.64,11650.64,0.0
ORD1076,clean,5571.39,5459.96,5459.96,0.0
ORD1077,clean,38058.87,37297.69,37297.69,0.0
ORD1078,timing_lag,25346.53,24839.6,24839.6,0.0
ORD1079,rounding,15846.82,15529.88,15529.58,0.0
ORD1080,rounding,41899.3,41061.31,41061.71,0.0
ORD1081,duplicate_entry,5059.85,4958.65,4958.65,0.0
ORD1082,clean,20180.79,19777.17,19777.17,0.0
ORD1083,duplicate_entry,33594.86,32922.96,32922.96,0.0
ORD1084,clean,33327.98,32661.42,32661.42,0.0
ORD1085,clean,42412.27,41564.02,41564.02,0.0
ORD1086,clean,41861.92,41024.68,41024.68,0.0
ORD1087,fee_variance,31368.22,30427.17,30427.17,0.0
ORD1088,clean,9774.4,9578.91,9578.91,0.0
ORD1089,clean,22308.72,21862.55,21862.55,0.0
ORD1090,clean,25558.11,25046.95,25046.95,0.0
ORD1091,duplicate_entry,19339.81,18953.01,18953.01,0.0
ORD1092,clean,36070.73,35349.32,35349.32,0.0
ORD1093,clean,28987.34,28407.59,28407.59,0.0
ORD1094,clean,37450.83,36701.81,36701.81,0.0
ORD1095,clean,6500.21,6370.21,6370.21,0.0
ORD1096,missing_settlement,18984.02,,,0.0
ORD1097,missing_settlement,19129.38,,,0.0
ORD1098,tds_deduction,42712.67,41849.88,41849.88,0.0
ORD1099,clean,44407.81,43519.65,43519.65,0.0
ORD1100,clean,6002.01,5881.97,5881.97,0.0
ORD1101,clean,17906.49,17548.36,17548.36,0.0
ORD1102,fee_variance,38148.81,37004.35,37004.35,0.0
ORD1103,fee_variance,22754.65,22185.78,22185.78,0.0
ORD1104,clean,8969.46,8790.07,8790.07,0.0
ORD1105,missing_settlement,22860.88,,,0.0
ORD1106,tds_deduction,25232.45,24722.75,24722.75,0.0
ORD1107,clean,32758.86,32103.68,32103.68,0.0
ORD1108,duplicate_entry,19283.09,18897.43,18897.43,0.0
ORD1109,tds_deduction,4222.83,4137.53,4137.53,0.0
ORD1110,clean,11255.58,11030.47,11030.47,0.0
ORD1111,clean,33047.1,32386.16,32386.16,0.0
ORD1112,rounding,25196.23,24692.31,24691.81,0.0
ORD1113,clean,1618.82,1586.44,1586.44,0.0
ORD1114,clean,15397.62,15089.67,15089.67,0.0
ORD1115,refund_partial,43501.62,42631.59,30383.93,12247.66
ORD1116,clean,2414.24,2365.96,2365.96,0.0
ORD1117,timing_lag,9787.12,9591.38,9591.38,0.0
ORD1118,missing_settlement,27366.27,,,0.0
ORD1119,missing_settlement,1230.48,,,0.0
