order_id,settlement_date,gross_amount,fee,tds,net_amount
ORD1086,2026-07-27,41861.92,837.24,0.0,41024.68
ORD1087,2026-07-22,31368.22,941.05,0.0,30427.17
ORD1088,2026-07-27,9774.4,195.49,0.0,9578.91
ORD1089,2026-07-25,22308.72,446.17,0.0,21862.55
ORD1090,2026-07-04,25558.11,511.16,0.0,25046.95
ORD1091,2026-07-08,19339.81,386.8,0.0,18953.01
ORD1092,2026-07-05,36070.73,721.41,0.0,35349.32
ORD1093,2026-07-23,28987.34,579.75,0.0,28407.59
ORD1094,2026-07-15,37450.83,749.02,0.0,36701.81
ORD1095,2026-07-28,6500.21,130.0,0.0,6370.21
ORD1098,2026-07-11,42712.67,854.25,8.54,41849.88
ORD1099,2026-07-30,44407.81,888.16,0.0,43519.65
ORD1100,2026-07-26,6002.01,120.04,0.0,5881.97
ORD1101,2026-07-18,17906.49,358.13,0.0,17548.36
ORD1102,2026-07-09,38148.81,1144.46,0.0,37004.35
ORD1103,2026-07-11,22754.65,568.87,0.0,22185.78
ORD1104,2026-07-06,8969.46,179.39,0.0,8790.07
ORD1106,2026-07-09,25232.45,504.65,5.05,24722.75
ORD1107,2026-07-12,32758.86,655.18,0.0,32103.68
ORD1108,2026-07-03,19283.09,385.66,0.0,18897.43
ORD1109,2026-07-05,4222.83,84.46,0.84,4137.53
ORD1110,2026-07-26,11255.58,225.11,0.0,11030.47
ORD1111,2026-07-06,33047.1,660.94,0.0,32386.16
ORD1112,2026-07-28,25196.23,503.92,0.0,24692.31
ORD1113,2026-07-13,1618.82,32.38,0.0,1586.44
ORD1114,2026-07-15,15397.62,307.95,0.0,15089.67
ORD1115,2026-07-23,43501.62,870.03,0.0,42631.59
ORD1116,2026-07-06,2414.24,48.28,0.0,2365.96
ORD1117,2026-07-30,9787.12,195.74,0.0,9591.38
