value_date,credit_amount,debit_amount,utr,reference,narration
2025-12-17,55953.94,0.00,HDFC239716018842,pay_kfqtq2IdsR,NEFT PART pay_kfqtq2IdsR
2026-01-25,18129.02,0.00,SBIN763351535010,pay_F3PKBcoVbv,UPI/Mohan/pay_F3PKBcoVbv
2026-02-01,18129.02,0.00,KKBK221987503360,pay_VEZ7puFcv8,UPI/Leela/pay_VEZ7puFcv8
2026-01-11,5193.02,0.00,ICIC591645258377,pay_punRjkUdjE,UPI/Rajesh/pay_punRjkUdjE
2026-02-01,5193.02,0.00,KKBK379585254632,pay_bmQds8gN9e,UPI/Rajesh/pay_bmQds8gN9e
2026-01-04,980.98,0.00,ICIC476752242542,pay_gPv4KltczG,UPI/Yash/pay_gPv4KltczG
2026-01-19,7101.34,0.00,ICIC580031538390,pay_x6eBYWiEiz,UPI/Pooja/pay_x6eBYWiEiz
2026-01-14,89622.73,0.00,HDFC714062699244,pay_vqkwTlPmoD,UPI/Aditya/pay_vqkwTlPmoD
2026-01-22,98369.85,0.00,HDFC538528567462,pay_xcGxvvexqV,UPI/Ananya/pay_xcGxvvexqV
2026-01-23,98369.85,0.00,ICIC629623490510,pay_xcGxvvexqV,UPI/Ananya/pay_xcGxvvexqV
2026-02-04,27021.19,0.00,KKBK732336530533,pay_ephfVs6vX7,UPI/Gaurav/pay_ephfVs6vX7
2026-02-05,27021.19,0.00,HDFC655599389297,pay_ephfVs6vX7,UPI/Gaurav/pay_ephfVs6vX7
2026-01-22,110752.88,0.00,UTIB100754154507,pay_vek0y4M5rD,UPI/Ananya/pay_vek0y4M5rD
2026-01-23,110752.88,0.00,UTIB370583683433,pay_vek0y4M5rD,UPI/Ananya/pay_vek0y4M5rD
2026-02-06,5575.68,0.00,ICIC821189581843,pay_4Q0M3Tdh7I,UPI/Meera/pay_4Q0M3Tdh7I
2026-01-26,138.42,0.00,KKBK783975461942,pay_mAoP2Sh4oA,UPI/Nikhil/pay_mAoP2Sh4oA
2026-02-07,6753.01,0.00,ICIC962925173831,pay_x5zburvvHA,UPI/Gaurav/pay_x5zburvvHA
2026-02-01,25541.60,0.00,UTIB935528079432,pay_Bf3RfBqw7R,UPI/Siddharth/pay_Bf3RfBqw7R
2025-12-25,101467.66,0.00,KKBK805561399577,pay_OOoM1jm4Bn,UPI/Jhanvi/pay_OOoM1jm4Bn
2025-12-04,44451.69,0.00,ICIC477650627063,pay_STxfPMkE2o,UPI/Kavya/pay_STxfPMkE2o
2025-12-06,0.00,44451.69,KKBK423381780429,pay_STxfPMkE2o,UPI REVERSAL pay_STxfPMkE2o
2025-12-18,1690.60,0.00,ICIC712148309063,pay_FaYKSMCDLg,UPI/Leela/pay_FaYKSMCDLg
2026-01-02,101364.52,0.00,ICIC470099525566,pay_LlJ2DlOXel,UPI/Pooja/pay_LlJ2DlOXel
2025-12-23,7622.88,0.00,HDFC857629289290,pay_KzIE2hPbVy,UPI/Siddharth/pay_KzIE2hPbVy
2025-12-23,20957.87,0.00,ICIC861712123416,pay_g950vxaNxd,UPI/Meera/pay_g950vxaNxd
2026-02-02,2448.98,0.00,HDFC473105454099,pay_Mf6MixmXvT,UPI/Ananya/pay_Mf6MixmXvT
2026-01-14,115304.10,0.00,HDFC304355274468,pay_8ErT4OeuFm,UPI/Jhanvi/pay_8ErT4OeuFm
2025-12-13,37081.47,0.00,SBIN896370760018,pay_2JgS6BWRSS,UPI/Leela/pay_2JgS6BWRSS
2025-12-04,126739.98,0.00,KKBK749892707765,pay_0oesuWX8wC,UPI/Meera/pay_0oesuWX8wC
2026-01-04,8659.96,0.00,SBIN863810343644,pay_Qg0hj7YyFs,UPI/Manish/pay_Qg0hj7YyFs
2026-01-03,490.98,0.00,ICIC847844360086,,UPI/Kunal/NA
2026-01-28,18129.02,0.00,UTIB684289771831,,UPI/Kunal/NA
2025-12-24,149727.74,0.00,SBIN521682915720,pay_B3yY4Qaw8U,UPI/Yash/pay_B3yY4Qaw8U
2025-12-18,150686.99,0.00,UTIB817339482356,pay_wJFJmwhQ6x,UPI/Shreya/pay_wJFJmwhQ6x
2026-02-04,39945.34,0.00,SBIN749449430304,pay_Ws6EmFNumB,UPI/Pooja/pay_Ws6EmFNumB
2026-01-15,7448.00,0.00,UTIB592919470676,pay_WhXaVe3UDz,UPI/Karthik/pay_WhXaVe3UDz
2026-01-17,7448.00,0.00,KKBK241316579692,pay_aPzFNeNGuC,UPI/Karthik/pay_aPzFNeNGuC
2026-02-09,78105.46,0.00,UTIB968135236350,pay_itaf2CDCop,UPI/Sneha/pay_itaf2CDCop
2026-02-09,78110.46,0.00,SBIN956321530771,,UPI/Sneha/NA
2025-12-05,15399.30,0.00,UTIB560807416182,pay_mXjiQD9iVx,UPI/Rohit/pay_mXjiQD9iVx
2026-01-12,16454.76,0.00,UTIB946256148168,pay_04DDTOM81y,UPI/Shreya/pay_04DDTOM81y
2026-01-02,14734.30,0.00,ICIC882929109990,,UPI/Kunal/NA
2026-01-13,8091.58,0.00,SBIN823813155886,pay_lGVnxIyYAJ,UPI/Tanvi/pay_lGVnxIyYAJ
2025-12-01,1129.18,0.00,HDFC654604903745,pay_GVrHaNGigK,UPI/Kunal/pay_GVrHaNGigK
2026-02-04,490.98,0.00,ICIC944567690642,pay_chr719P8yG,UPI/Sneha/pay_5pmbCKypDv
2025-12-14,141055.39,0.00,HDFC909897587694,pay_5pmbCKypDv,UPI/Pranav/pay_chr719P8yG
2025-12-07,175884.63,0.00,UTIB400508804824,pay_mGE50rxrOI,UPI/Vikram/pay_mGE50rxrOI
2026-01-12,49237.38,0.00,HDFC855519169229,pay_5nlTZRkJI5,UPI/Diya/pay_5nlTZRkJI5
2026-01-21,26393.84,0.00,KKBK314756358595,,UPI/Gaurav/NA
2026-02-01,106022.90,0.00,ICIC383029047232,pay_eculxgkkX5,UPI/Vikram/pay_eculxgkkX5
2025-12-04,61870.08,0.00,UTIB761632337823,pay_1F8SH8giG6,UPI/Kavya/pay_1F8SH8giG6
2025-12-19,25317.95,0.00,KKBK830814413307,pay_bGLqyd0fQu,UPI/Tanvi/pay_bGLqyd0fQu
2025-12-29,3104.58,0.00,ICIC423272646502,pay_XON6JqPbNY,UPI/Siddharth/pay_XON6JqPbNY
2025-12-19,109985.50,0.00,SBIN876025015392,pay_UAQgdASLXk,UPI/Vikram/pay_UAQgdASLXk
2026-01-05,98.98,0.00,UTIB177347032629,pay_VgO35We8e4,UPI/Siddharth/pay_VgO35We8e4
2025-12-14,3178.77,0.00,HDFC926420057401,pay_6vB3QM3230,UPI/Aarav/pay_6vB3QM3230
2025-12-15,3178.77,0.00,ICIC681785043650,pay_6vB3QM3230,UPI/Aarav/pay_6vB3QM3230
2026-01-22,107902.57,0.00,KKBK648510303093,SWEEP17,MERCHANT PAYOUT SWEEP17
2025-12-20,58442.36,0.00,HDFC904381120551,SWEEP18,MERCHANT PAYOUT SWEEP18
2026-02-05,6439.93,0.00,SBIN800032078323,NEFT664330,FD INTEREST
2025-12-08,6392.79,0.00,SBIN926157368670,NEFT510368,GST INPUT CREDIT
2026-01-18,2966.26,0.00,KKBK392374715989,NEFT499366,GST INPUT CREDIT
2026-02-03,6320.50,0.00,KKBK838326747741,NEFT885896,GST INPUT CREDIT
2026-01-01,3139.85,0.00,KKBK444363473877,NEFT825556,FD INTEREST
2025-12-28,1974.53,0.00,UTIB657275027586,NEFT776363,FD INTEREST
2026-01-08,6120.44,0.00,UTIB769237788616,NEFT646591,TDS REFUND ITD
2025-12-27,2469.88,0.00,HDFC161853855352,NEFT712362,TDS REFUND ITD
