transaction_id,expected_decision,expected_reason,expected_ledger_amount,expected_gateway_amount,expected_settlement_amount,expected_bank_amount,expected_variance,expected_match_type,expected_confidence_band,human_review_required
pay_F3PKBcoVbv,MATCH,,18499.00,18499.00,18129.02,18129.02,0.00,EXACT,high,false
pay_VEZ7puFcv8,MATCH,,18499.00,18499.00,18129.02,18129.02,0.00,EXACT,high,false
pay_punRjkUdjE,MATCH,,5299.00,5299.00,5193.02,5193.02,0.00,EXACT,medium,true
pay_bmQds8gN9e,MATCH,,5299.00,5299.00,5193.02,5193.02,0.00,EXACT,medium,true
pay_gPv4KltczG,MATCH,,1001.00,1001.00,980.98,980.98,0.00,EXACT,high,false
pay_gPv4Kltcz0,EXCEPTION,ambiguous_match,17337.17,17319.67,16973.28,,,EXCEPTION,low,true
pay_x6eBYWiEiz,EXCEPTION,duplicate_gateway,7246.27,7246.27,7101.34,7101.34,0.00,EXCEPTION,high,true
pay_vqkwTlPmoD,EXCEPTION,duplicate_gateway,91451.77,91451.77,89622.73,89622.73,0.00,EXCEPTION,high,true
pay_xcGxvvexqV,EXCEPTION,duplicate_bank_credit,100377.40,100377.40,98369.85,98369.85,0.00,EXCEPTION,high,true
pay_ephfVs6vX7,EXCEPTION,duplicate_bank_credit,27572.64,27572.64,27021.19,27021.19,0.00,EXCEPTION,high,true
pay_vek0y4M5rD,EXCEPTION,duplicate_bank_credit,113013.14,113013.14,110752.88,110752.88,0.00,EXCEPTION,high,true
pay_4Q0M3Tdh7I,EXCEPTION,amount_mismatch,8710.17,5689.47,5575.68,5575.68,0.00,EXCEPTION,high,true
pay_mAoP2Sh4oA,EXCEPTION,amount_mismatch,250.00,141.25,138.42,138.42,0.00,EXCEPTION,high,true
pay_x5zburvvHA,EXCEPTION,amount_mismatch,11537.44,6890.83,6753.01,6753.01,0.00,EXCEPTION,high,true
pay_Bf3RfBqw7R,MATCH,timing_difference,26062.86,26062.86,25541.60,25541.60,0.00,FUZZY,medium,true
pay_OOoM1jm4Bn,MATCH,timing_difference,103538.43,103538.43,101467.66,101467.66,0.00,FUZZY,medium,true
pay_STxfPMkE2o,EXCEPTION,refund_full,45358.87,45358.87,44451.69,0.00,44451.69,EXCEPTION,high,true
pay_FaYKSMCDLg,EXCEPTION,refund_partial,2501.00,2501.00,2450.98,1690.60,760.38,EXCEPTION,high,true
pay_LlJ2DlOXel,EXCEPTION,refund_partial,133587.48,133587.48,130915.73,101364.52,29551.21,EXCEPTION,high,true
pay_KzIE2hPbVy,EXCEPTION,refund_partial,7940.50,7940.50,7781.69,7622.88,158.81,EXCEPTION,high,true
pay_g950vxaNxd,EXCEPTION,unexplained_variance,21386.60,21386.60,20958.87,20957.87,1.00,EXCEPTION,medium,true
pay_Mf6MixmXvT,EXCEPTION,unexplained_variance,2501.00,2501.00,2450.98,2448.98,2.00,EXCEPTION,medium,true
pay_8ErT4OeuFm,EXCEPTION,unexplained_variance,117662.35,117662.35,115309.10,115304.10,5.00,EXCEPTION,high,true
pay_2JgS6BWRSS,EXCEPTION,amount_mismatch,42430.07,42430.07,41581.47,37081.47,4500.00,EXCEPTION,high,true
pay_0oesuWX8wC,EXCEPTION,amount_mismatch,144632.63,144632.63,141739.98,126739.98,15000.00,EXCEPTION,high,true
pay_Qg0hj7YyFs,EXCEPTION,amount_mismatch,13428.53,13428.53,13159.96,8659.96,4500.00,EXCEPTION,high,true
pay_84tm0xabBs,EXCEPTION,missing_settlement,1018.54,,,,,EXCEPTION,high,true
pay_HiuUtgUFux,EXCEPTION,missing_settlement,166931.59,,,,,EXCEPTION,high,true
pay_kIAnEKVzmb,EXCEPTION,missing_settlement,1001.00,,,,,EXCEPTION,high,true
pay_wSeu81ArIL,EXCEPTION,missing_settlement,42003.90,,,,,EXCEPTION,high,true
pay_mei2gGLdKH,EXCEPTION,missing_bank_credit,157064.53,157064.53,153923.24,,,EXCEPTION,high,true
pay_lYzBlh3VBC,EXCEPTION,missing_bank_credit,13321.88,13321.88,13055.44,,,EXCEPTION,high,true
pay_gRZC3UxVRB,EXCEPTION,missing_bank_credit,1001.00,1001.00,980.98,,,EXCEPTION,high,true
pay_uVVSS3vM1L,EXCEPTION,ambiguous_match,501.00,501.00,490.98,490.98,0.00,EXCEPTION,low,true
pay_Ecdo7DSFBl,EXCEPTION,ambiguous_match,18499.00,18499.00,18129.02,18129.02,0.00,EXCEPTION,low,true
pay_B3yY4Qaw8U,EXCEPTION,wrong_transaction,152783.41,152783.41,149727.74,149727.74,0.00,EXCEPTION,high,true
pay_wJFJmwhQ6x,EXCEPTION,wrong_transaction,153762.23,153762.23,150686.99,150686.99,0.00,EXCEPTION,high,true
pay_Ws6EmFNumB,EXCEPTION,wrong_transaction,40760.55,40760.55,39945.34,39945.34,0.00,EXCEPTION,high,true
pay_WhXaVe3UDz,MATCH,,7600.00,7600.00,7448.00,7448.00,0.00,EXACT,medium,true
pay_aPzFNeNGuC,MATCH,,7600.00,7600.00,7448.00,7448.00,0.00,EXACT,medium,true
pay_itaf2CDCop,MATCH,,79699.45,79699.45,78105.46,78105.46,0.00,EXACT,high,false
pay_7hYEFWHIw6,EXCEPTION,missing_settlement,78709.78,,,,,EXCEPTION,high,true
pay_mXjiQD9iVx,EXCEPTION,duplicate_gateway,15713.57,15713.57,15399.30,15399.30,0.00,EXCEPTION,high,true
pay_04DDTOM81y,MATCH,,16790.57,16790.57,16454.76,16454.76,0.00,EXACT,high,false
pay_04DDTOM81X,EXCEPTION,wrong_transaction,50337.04,50337.04,49330.30,,,EXCEPTION,low,true
pay_S7V3OQFx7w,EXCEPTION,ambiguous_match,15035.00,15035.00,14734.30,14734.30,0.00,EXCEPTION,low,true
pay_gftuGVDeRP,EXCEPTION,missing_bank_credit,1001.00,1001.00,980.98,,,EXCEPTION,medium,true
pay_lGVnxIyYAJ,EXCEPTION,amount_mismatch,8385.06,8385.06,8217.36,8091.58,125.78,EXCEPTION,high,true
pay_GVrHaNGigK,EXCEPTION,refund_partial,1563.41,1563.41,1516.51,1129.18,387.33,EXCEPTION,high,true
pay_5pmbCKypDv,EXCEPTION,wrong_transaction,501.00,501.00,490.98,490.98,0.00,EXCEPTION,high,true
pay_chr719P8yG,EXCEPTION,wrong_transaction,143934.07,143934.07,141055.39,141055.39,0.00,EXCEPTION,high,true
pay_6ntVty0MZn,EXCEPTION,missing_bank_credit,145027.11,145027.11,142126.57,,,EXCEPTION,high,true
pay_v2PQiUPYiw,EXCEPTION,missing_bank_credit,38276.46,38276.46,37510.93,,,EXCEPTION,high,true
pay_mGE50rxrOI,EXCEPTION,duplicate_gateway,179474.11,179474.11,175884.63,175884.63,0.00,EXCEPTION,high,true
pay_5nlTZRkJI5,EXCEPTION,amount_mismatch,54834.06,54834.06,53737.38,49237.38,4500.00,EXCEPTION,high,true
pay_N1Y3kUPZ49,EXCEPTION,ambiguous_match,26932.49,26932.49,26393.84,26393.84,0.00,EXCEPTION,low,true
pay_eculxgkkX5,EXCEPTION,refund_partial,173611.89,173611.89,170139.65,106022.90,64116.75,EXCEPTION,high,true
pay_1F8SH8giG6,EXCEPTION,amount_mismatch,93315.67,63132.73,61870.08,61870.08,0.00,EXCEPTION,high,true
pay_bGLqyd0fQu,EXCEPTION,wrong_transaction,25834.64,25834.64,25317.95,25317.95,0.00,EXCEPTION,high,true
pay_XON6JqPbNY,EXCEPTION,unexplained_variance,3173.04,3173.04,3109.58,3104.58,5.00,EXCEPTION,high,true
pay_LQD11WM1PT,EXCEPTION,missing_settlement,250.00,,,,,EXCEPTION,high,true
pay_J8ZCP4Rdmm,EXCEPTION,missing_bank_credit,134074.87,134074.87,131393.37,,,EXCEPTION,medium,true
pay_UAQgdASLXk,EXCEPTION,amount_mismatch,113974.61,113974.61,111695.12,109985.50,1709.62,EXCEPTION,high,true
pay_VgO35We8e4,MATCH,,101.00,101.00,98.98,98.98,0.00,EXACT,high,false
pay_6vB3QM3230,EXCEPTION,duplicate_bank_credit,3243.64,3243.64,3178.77,3178.77,0.00,EXCEPTION,high,true
pay_4TRhvjFLrg,EXCEPTION,missing_settlement,41826.48,,,,,EXCEPTION,high,true
