settlement_id,merchant_order_id,settlement_date,gross_amount,fee,tds,refund_amount,net_amount,payment_mode
st_0068_SFBl,pay_Ecdo7DSFBl,2026-01-28,18499.00,369.98,0.00,0.00,18129.02,VISA
st_0069_aw8U,ord_xu9CeBHjo0,2025-12-24,152783.41,3055.67,0.00,0.00,149727.74,RUPAY
st_0070_hQ6x,ord_t6cj1a4LUv,2025-12-18,153762.23,3075.24,0.00,0.00,150686.99,VISA
st_0071_NumB,ord_3fZjJT6WOc,2026-02-04,40760.55,815.21,0.00,0.00,39945.34,UPI
st_0072_3UDz,pay_WhXaVe3UDz,2026-01-15,7600.00,152.00,0.00,0.00,7448.00,VISA
st_0073_NGuC,pay_aPzFNeNGuC,2026-01-17,7600.00,152.00,0.00,0.00,7448.00,RUPAY
st_0074_DCop,pay_itaf2CDCop,2026-02-09,79699.45,1593.99,0.00,0.00,78105.46,RUPAY
st_0076_9iVx,pay_mXjiQD9iVx,2025-12-05,15713.57,314.27,0.00,0.00,15399.30,RUPAY
st_0076_9iVxb,pay_mXjiQD9iVx,2025-12-05,15713.57,314.27,0.00,0.00,15399.30,RUPAY
st_0077_M81y,pay_04DDTOM81y,2026-01-12,16790.57,335.81,0.00,0.00,16454.76,RUPAY
st_0078_M81X,pay_04DDTOM81X,2026-02-07,50337.04,1006.74,0.00,0.00,49330.30,RUPAY
st_0079_Fx7w,pay_S7V3OQFx7w,2026-01-02,15035.00,300.70,0.00,0.00,14734.30,UPI
st_0079_Fx7wb,pay_S7V3OQFx7w,2026-01-02,15035.00,300.70,0.00,0.00,14734.30,UPI
st_0080_DeRP,pay_gftuGVDeRP,2026-01-27,1001.00,20.02,0.00,0.00,980.98,RUPAY
st_0081_yYAJ,pay_lGVnxIyYAJ,2026-01-13,8385.06,167.70,0.00,0.00,8217.36,VISA
st_0082_GigK,pay_GVrHaNGigK,2025-12-01,1563.41,31.27,15.63,387.33,1516.51,VISA
st_0083_ypDv,pay_5pmbCKypDv,2026-02-04,501.00,10.02,0.00,0.00,490.98,RUPAY
st_0084_P8yG,pay_chr719P8yG,2025-12-14,143934.07,2878.68,0.00,0.00,141055.39,VISA
st_0085_0MZn,pay_6ntVty0MZn,2025-12-29,145027.11,2900.54,0.00,0.00,142126.57,RUPAY
st_0086_PYiw,pay_v2PQiUPYiw,2025-11-30,38276.46,765.53,0.00,0.00,37510.93,UPI
st_0087_xrOI,pay_mGE50rxrOI,2025-12-07,179474.11,3589.48,0.00,0.00,175884.63,RUPAY
st_0087_xrOIb,pay_mGE50rxrOI,2025-12-07,179474.11,3589.48,0.00,0.00,175884.63,RUPAY
st_0088_kJI5,pay_5nlTZRkJI5,2026-01-12,54834.06,1096.68,0.00,0.00,53737.38,UPI
st_0089_PZ49,pay_N1Y3kUPZ49,2026-01-21,26932.49,538.65,0.00,0.00,26393.84,VISA
st_0089_PZ49b,pay_N1Y3kUPZ49,2026-01-21,26932.49,538.65,0.00,0.00,26393.84,VISA
st_0090_kkX5,pay_eculxgkkX5,2026-02-01,173611.89,3472.24,0.00,64116.75,170139.65,RUPAY
st_0091_giG6,pay_1F8SH8giG6,2025-12-04,63132.73,1262.65,0.00,0.00,61870.08,UPI
st_0092_0fQu,ord_fd9ozye6Bk,2025-12-19,25834.64,516.69,0.00,0.00,25317.95,RUPAY
st_0093_PbNY,pay_XON6JqPbNY,2025-12-29,3173.04,63.46,0.00,0.00,3109.58,UPI
st_0095_Rdmm,pay_J8ZCP4Rdmm,2026-01-27,134074.87,2681.50,0.00,0.00,131393.37,VISA
st_0096_SLXk,pay_UAQgdASLXk,2025-12-19,113974.61,2279.49,0.00,0.00,111695.12,VISA
st_0097_e8e4,pay_VgO35We8e4,2026-01-05,101.00,2.02,0.00,0.00,98.98,RUPAY
st_0098_3230,pay_6vB3QM3230,2025-12-14,3243.64,64.87,0.00,0.00,3178.77,UPI
st_decoy_Ji2d9e,payX_eN0MJi2d9e,2026-01-05,2458.88,49.18,0.00,0.00,2409.70,UPI
st_decoy_8vzURJ,payX_yPlH8vzURJ,2026-02-07,33508.61,670.17,0.00,0.00,32838.44,UPI
st_decoy_MQ6Cvv,payX_rMW2MQ6Cvv,2026-01-11,59000.78,1180.02,0.00,0.00,57820.76,UPI
st_decoy_glTBBC,payX_gfVyglTBBC,2025-12-27,69465.39,1389.31,0.00,0.00,68076.08,UPI
st_decoy_FCcbK0,payX_5jiMFCcbK0,2026-02-03,501.00,10.02,0.00,0.00,490.98,UPI
st_decoy_C1LP7r,payX_GE2GC1LP7r,2025-12-24,7663.78,153.28,0.00,0.00,7510.50,UPI
